#;#;#;OPERATOR:1;OPERATOR:1;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;19;19;19;20;21;21;22;22;22;22
#;#;#;X-axis rotation angle;Y-axis rotation angle;a0;ax;ax2;ax3;ay;axy;ax2y;ay2;axy2;ay3;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Sq;Ssk;Sku;Sp;Sv;Sz;Sa;Smr (c = 1000 nm below highest peak);Smc (p = 10.00%);Sxp (p = 50.00%, q = 97.50%);Sal (s = 0.2000);Str (s = 0.2000);Std (Reference angle = 0.000°);Sdq;Sdr;Vm (p = 10.00%);Vv (p = 10.00%);Vmp (p = 10.00%);Vmc (p = 10.00%, q = 80.00%);Vvc (p = 10.00%, q = 80.00%);Vvv (p = 80.00%);Maximum depth of furrows;Mean depth of furrows;Mean density of furrows;First direction;Second direction;Third direction;Isotropy;Length-scale anisotropy (Sfrax) (epLsar);Length-scale anisotropy (NewEplsar);Fractal complexity (Asfc);Scale of max complexity (Smfc);HAsfc9 (HAsfc9);HAsfc81 (HAsfc81)
#;#;#;°;°;nm;nm;nm;nm;nm;nm;nm;nm;nm;nm;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;nm;<no unit>;<no unit>;nm;nm;nm;nm;%;nm;nm;µm;<no unit>;°;<no unit>;%;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;nm;nm;cm/cm2;°;°;°;%;<no unit>;<no unit>;<no unit>;µm²;<no unit>;<no unit>
03.09.2020;14:33:02;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-a_50x09_LSM_Topo.mnt;-2,694053682;-4,169364046;-5316,302467;20,87003088;-0,023343306;7,67E-06;6,260864436;0,003825339;-9,87E-06;-0,006613336;4,10E-06;8,83E-07;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003_C1-01-a_50x09_LSM_Topo;07.02.2020 10:45;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;38041,42788;64277;0,591835772;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.02.2020 10:45;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;18938,74469;32000;0,591835772;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.02.2020 10:45;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;8682,585869;146706;0,059183577;0;1048,895159;0,132560228;3,516410324;5140,389593;3542,196276;8682,585869;814,220228;0,085139289;1348,441983;1988,48162;28,35891284;0,360722274;140,7494502;0,222325802;2,287042675;0,057522401;1,405952937;0,057522401;0,893352314;1,286082915;0,119870022;3486,622897;899,2230935;2578,372416;135,0094627;90,00677511;153,5489476;75,30256987;0,00164011;0,018376251;3,698324762;4,610763815;0,148106526;0,329881845
03.09.2020;14:33:29;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-b_50x09_LSM_Topo.mnt;2,222323071;-2,43016369;-2607,292074;11,95154345;-0,006338833;-3,03E-08;-9,667111159;-0,004164654;9,41E-07;0,023355328;-5,25E-06;-9,68E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003_C1-01-b_50x09_LSM_Topo;07.02.2020 11:00;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;23648,94505;64883;0,364485999;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-b_50x09_LSM_Topo > Leveled (LS-plane);07.02.2020 11:00;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;11090,21548;30427;0,364485999;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-b_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.02.2020 11:00;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6552,510593;179774;0,0364486;0;1000,860245;-0,573604813;3,71744233;2644,929098;3907,581495;6552,510593;777,3091358;3,012236605;1149,238942;2409,021542;23,66582102;0,796789007;132,5023816;0,22044995;2,349785461;0,040918655;1,190174064;0,040918655;0,878956167;1,044399999;0,145774065;4444,906754;1054,486145;2480,869883;89,98956657;44,97584191;135,001661;93,66237634;0,001633695;0,017800577;3,801741462;4,610763815;0,139970396;0,284819833
03.09.2020;14:33:54;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-c_50x09_LSM_Topo.mnt;0,444341314;-3,997181288;-1799,233317;10,28255435;9,99E-05;-9,59E-06;-11,97483495;0,000374195;1,04E-05;0,026177857;-1,20E-05;-1,24E-05;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003_C1-01-c_50x09_LSM_Topo;07.02.2020 11:15;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;28466,43229;65438;0,435013789;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-c_50x09_LSM_Topo > Leveled (LS-plane);07.02.2020 11:15;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;12068,15252;27742;0,435013789;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-003 - BU-003-C1-01-c_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.02.2020 11:15;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;5510,580668;126676;0,043501379;0;948,3090347;-0,430464699;3,09726973;2311,880779;3198,699889;5510,580668;749,0270985;6,824892625;1148,120736;2155,171747;23,28322821;0,734801841;137,4891339;0,226683767;2,485052248;0,035871517;1,183986959;0,035871517;0,851825471;1,048140752;0,135846207;3549,590711;1039,72672;2608,368368;179,9837905;134,9699627;44,98564012;67,11628753;0,001445529;0,017815206;4,284244652;4,311287828;0,140312685;0,222828311
03.09.2020;14:34:19;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-a_50x09_LSM_Topo.mnt;-1,288756467;2,506868258;418,8158177;-1,11882844;0,002666924;-1,97E-06;-2,157277539;0,001120363;-2,12E-06;0,004468474;2,76E-06;-3,74E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032_B3-01-a_50x09_LSM_Topo;07.01.2020 17:00;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;17053,09502;65609;0,259920057;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 17:00;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;7161,837251;27554;0,259920057;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 17:00;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;4883,819896;187897;0,025992006;0;533,7356394;-0,127527315;5,176453061;2087,288018;2796,531878;4883,819896;391,7993956;2,716704195;664,5769267;1080,931862;19,90545743;0,853493719;176,5132049;0,122746772;0,733262889;0,032599595;0,697181101;0,032599595;0,398544557;0,629465261;0,06771584;3276,786167;678,2178628;2377,068929;179,9934272;134,9989326;123,7530246;89,89191132;0,000854896;0,018076341;1,145166369;6,450630522;0,30768448;0,684599408
03.09.2020;14:34:43;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-b_50x09_LSM_Topo.mnt;-0,929194483;1,74333467;968,5595756;-0,741054753;-0,00419892;3,69E-06;-0,20878915;0,004157696;-2,94E-06;-0,004984149;1,32E-06;3,22E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032_B3-01-b_50x09_LSM_Topo;07.01.2020 17:10;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;14245,79427;65161;0,21862455;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-b_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 17:10;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;8392,12196;38386;0,21862455;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-b_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 17:10;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6248,836188;285825;0,021862455;0;831,5736015;-0,391921495;4,301499618;2859,281172;3389,555017;6248,836188;623,0197669;1,227827801;961,0001219;1925,223402;20,89441401;0,819186057;129,2611628;0,178877565;1,521535231;0,044209985;1,005211232;0,044209985;0,675689449;0,885530322;0,11968091;3912,06769;901,122616;2282,486251;134,9976448;90,02221376;179,998635;75,88365088;0,000832153;0,017489683;2,274783292;6,898712167;0,300604399;0,640076943
03.09.2020;14:35:08;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-c_50x09_LSM_Topo.mnt;-1,792077667;2,925282157;157,603548;-6,152465668;0,010992158;-7,85E-06;8,204374742;-0,001244861;-3,22E-06;-0,006864218;1,29E-05;-5,40E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032_B3-01-c_50x09_LSM_Topo;07.01.2020 17:22;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;21500,16923;64808;0,331751778;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-c_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 17:22;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;13140,35618;39609;0,331751778;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-032 - BU-032-B3-01-c_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 17:22;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;4864,509497;146631;0,033175178;0;745,7951645;-0,376047281;3,298727933;2084,827699;2779,681798;4864,509497;596,1851856;4,475205962;891,6758973;1656,145836;25,05971786;0,68175036;2,271732898;0,138423239;0,933857076;0,028250009;0,919925267;0,028250009;0,67324074;0,822860254;0,097065014;2835,416097;668,8643407;2582,279117;0,028272891;89,99956276;44,99639121;65,63800451;0,001770042;0,0181849;1,494652149;4,311287828;0,372034549;0,629435244
03.09.2020;14:35:33;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-a_50x09_LSM_Topo.mnt;0,098717045;-2,376768593;1093,478897;-4,467097011;0,007460416;-5,70E-06;3,868391521;-0,003062883;3,10E-06;-0,009086881;5,23E-06;2,80E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077_B3-01-a_50x09_LSM_Topo;07.01.2020 16:18;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;17369,2455;65007;0,267190387;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 16:18;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;12011,00947;44953;0,267190387;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 16:18;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;5864,695403;219495;0,026719039;0;797,2148838;-0,854942286;5,126357131;1814,142572;4050,552831;5864,695403;619,9944314;13,76894609;928,534619;1751,249021;27,73344739;0,710629291;93,50088666;0,149693731;1,093769233;0,027262162;0,955787756;0,027262162;0,700698395;0,848070684;0,107717072;3373,572547;656,7979667;2564,072821;45,00880821;90,00279859;134,9986636;90,5959128;0,003751167;0,017873031;1,772141387;4,610763815;0,366620162;0,392082813
03.09.2020;14:35:57;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-b_50x09_LSM_Topo.mnt;1,416753409;0,059007666;-3982,219674;17,38705162;-0,019436478;3,78E-06;1,252753166;0,001746517;5,96E-06;0,003792608;-9,04E-06;-2,49E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077_B3-01-b_50x09_LSM_Topo;07.01.2020 16:33;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;14673,34012;65016;0,22568814;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-b_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 16:33;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10077,87821;44654;0,22568814;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-b_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 16:33;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;5855,952742;259471;0,022568814;0;907,944502;-0,248503917;3,798975874;2449,573936;3406,378806;5855,952742;678,1652322;6,541304346;1181,794256;2065,959766;31,50152166;0,869101704;140,5033521;0,171364114;1,42716195;0,045241336;1,227034828;0,045241336;0,707615848;1,095406704;0,131628124;2969,79864;710,4920076;2619,054638;44,98632849;89,97857487;135,0141396;75,5306272;0,000156715;0,017785178;2,471183997;3,769426692;0,391758967;0,541211577
03.09.2020;14:36:22;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-c_50x09_LSM_Topo.mnt;-0,53668116;-0,649094453;6311,292818;-18,57262789;0,00394374;4,23E-06;-12,30885413;0,03600885;-1,30E-05;0,008584273;-8,01E-06;-5,86E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077_B3-01-c_50x09_LSM_Topo;07.01.2020 16:40;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;14043,23457;64062;0,219213177;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-c_50x09_LSM_Topo > Leveled (LS-plane);07.01.2020 16:40;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;12869,78643;58709;0,219213177;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-077 - BU-077-B3-01-c_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.01.2020 16:40;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;7604,505124;346900;0,021921318;0;999,1617413;-0,546133593;5,177420319;3329,913928;4274,591195;7604,505124;717,2737782;1,336972927;1164,810248;2450,032796;24,49791328;0,503516712;121,5032118;0,170106127;1,401741609;0,054310483;1,219123842;0,054310483;0,696902036;1,057636393;0,161487448;3950,613848;675,6579117;2604,434321;90,01285226;0,005200594;44,98379996;75,14538246;0,00272609;0,01756429;2,333687453;4,931042371;0,420701405;0,519745857
03.09.2020;14:36:47;E:\USE-WEAR\archaeology\BUHLEN\ConfoMap\BU_pro --- BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-115 - BU-115-A2-01-a_50x09_LSM_Topo.mnt;1,936941502;-2,135763177;-3067,738362;6,533195917;-0,011494503;7,13E-06;7,307489761;0,006477807;1,08E-06;-0,010798835;-1,39E-05;8,64E-06;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-115 - BU-115_A2-01-a_50x09_LSM_Topo;07.02.2020 13:17;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;19770,15768;66020;0,299457099;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-115 - BU-115-A2-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.02.2020 13:17;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10483,69358;35009;0,299457099;0;BU_50x_res ---  -  -  - Users - schunk - Documents - USE-WEAR - BUHLEN - LSM - BU-115 - BU-115-A2-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.02.2020 13:17;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;6074,397418;202847;0,02994571;0;1008,390591;0,406164469;3,422119598;3516,554661;2557,842758;6074,397418;782,8234481;1,606519912;1296,783397;1814,602799;24,57337414;0,880468475;137,5056487;0,177157542;1,537912435;0,066559739;1,363331953;0,066559739;0,873940602;1,263164932;0,100167021;3014,954038;1224,912194;2277,812751;179,9921385;134,9850957;44,99566234;90,16845938;0,000307034;0,017789089;2,163351469;6,450630522;0,142405833;0,264560838
