#;#;#;OPERATOR:1;OPERATOR:1;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;OPERATOR:2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;19;19;19;20;21;21;22;22;22;22
#;#;#;X-axis rotation angle;Y-axis rotation angle;a0;ax;ax2;ax3;ay;axy;ax2y;ay2;axy2;ay3;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Name;Created on;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Sq;Ssk;Sku;Sp;Sv;Sz;Sa;Smr (c = 1000 nm below highest peak);Smc (p = 10.00%);Sxp (p = 50.00%, q = 97.50%);Sal (s = 0.2000);Str (s = 0.2000);Std (Reference angle = 0.000°);Sdq;Sdr;Vm (p = 10.00%);Vv (p = 10.00%);Vmp (p = 10.00%);Vmc (p = 10.00%, q = 80.00%);Vvc (p = 10.00%, q = 80.00%);Vvv (p = 80.00%);Maximum depth of furrows;Mean depth of furrows;Mean density of furrows;First direction;Second direction;Third direction;Isotropy;Length-scale anisotropy (Sfrax) (epLsar);Length-scale anisotropy (NewEplsar);Fractal complexity (Asfc);Scale of max complexity (Smfc);HAsfc9 (HAsfc9);HAsfc81 (HAsfc81)
#;#;#;°;°;nm;nm;nm;nm;nm;nm;nm;nm;nm;nm;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;<no unit>;<no unit>;<no unit>;<no unit>;µm;points;µm;<no unit>;µm;points;µm;<no unit>;<no unit>;nm;digits;nm;%;nm;<no unit>;<no unit>;nm;nm;nm;nm;%;nm;nm;µm;<no unit>;°;<no unit>;%;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;µm³/µm²;nm;nm;cm/cm2;°;°;°;%;<no unit>;<no unit>;<no unit>;µm²;<no unit>;<no unit>
03.09.2020;14:52:06;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- BA_20x_ext --- MU-232-B2-01-a_20x07_LSM_Topo.mnt;-3,126075388;15,76269757;27860,91498;-140,1050645;0,152743077;-4,27E-05;-14,50031072;0,070278252;-6,42E-05;0,006875652;3,42E-05;-2,29E-05;BA_50x_res --- BA_20x_ext --- MU-232_B2-01-a_20x07_LSM_Topo;07.07.2020 16:58;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;249563,8891;65505;3,809844884;0;BA_50x_res --- BA_20x_ext --- MU-232-B2-01-a_20x07_LSM_Topo > Leveled (LS-plane);07.07.2020 16:58;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;270491,3671;70998;3,809844884;0;BA_50x_res --- BA_20x_ext --- MU-232-B2-01-a_20x07_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.07.2020 16:58;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;20482,48807;53762;0,380984488;0;3243,46492;0,063364928;3,456648954;10477,07343;10005,41463;20482,48807;2505,545764;0,551009273;3753,565649;6582,264251;25,94647646;0,321132254;42,49526812;0,602524437;9,99401306;0,209379149;3,962846805;0,209379149;2,775219749;3,55940934;0,403437465;12698,49874;2585,970205;2987,422098;44,9809005;26,45485129;63,52628654;13,49804216;0,003682853;0,018102172;12,79944237;2,508392949;0,629247569;0,810199504
03.09.2020;14:52:29;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- BA_20x_ext --- MU-232-B2-01-b_20x07_LSM_Topo.mnt;-2,54646777;0,597659641;-5600,539186;-9,680375103;0,032569251;-2,13E-05;9,909919611;0,013969937;1,94E-06;0,013057783;-2,41E-05;-1,36E-05;BA_50x_res --- BA_20x_ext --- MU-232_B2-01-b_20x07_LSM_Topo;07.08.2020 10:35;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;99661,32055;35461;2,810448677;0;BA_50x_res --- BA_20x_ext --- MU-232-B2-01-b_20x07_LSM_Topo > Leveled (LS-plane);07.08.2020 10:35;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;99602,30112;35440;2,810448677;0;BA_50x_res --- BA_20x_ext --- MU-232-B2-01-b_20x07_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.08.2020 10:35;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;20422,40636;72666;0,281044868;0;2492,685689;-0,944536835;7,359355185;7460,054969;12962,35139;20422,40636;1813,229931;0,697476851;2956,411709;4877,545709;20,48343798;0,215041146;93,00821255;0,376486975;5,107810187;0,115739245;3,07205712;0,115739245;1,817444978;2,730142027;0,341915093;14380,92536;2471,097075;1790,038033;90,00638344;135,0046032;116,442081;64,54650525;0,002403307;0,017650292;6,845866633;67,37869936;0,443986507;2,10563644
03.09.2020;14:52:53;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- BA_20x_ext --- MU-232-B2-01-c_20x07_LSM_Topo.mnt;1,589601206;8,517874721;-33550,90487;27,04493854;-0,002159574;3,47E-06;149,0469042;-0,057719693;-2,65E-05;-0,158492286;5,15E-05;3,95E-05;BA_50x_res --- BA_20x_ext --- MU-232_B2-01-c_20x07_LSM_Topo;07.08.2020 12:10;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;162726,0172;32419;5,019464425;0;BA_50x_res --- BA_20x_ext --- MU-232-B2-01-c_20x07_LSM_Topo > Leveled (LS-plane);07.08.2020 12:10;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;163207,8858;32515;5,019464425;0;BA_50x_res --- BA_20x_ext --- MU-232-B2-01-c_20x07_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.08.2020 12:10;Surface;X;254,9211018;1198;0,212966668;Y;254,9211018;1198;0,212966668;Z;Topography;28863,92823;57504;0,501946443;0;4332,028501;0,18155179;3,082953493;12748,43575;16115,49248;28863,92823;3408,910212;0,387722624;5778,475263;7853,570401;23,40140557;0,241037458;50,99436065;0,55683638;10,53791303;0,231086093;6,009789063;0,231086093;3,631368308;5,53015816;0,479630904;16377,34121;3669,761012;1900,753983;89,9832094;63,5304897;44,9915187;14,91092714;0,003013051;0,017915721;12,11715867;48,16076007;0,495662327;1,514533168
03.09.2020;14:53:17;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-003 - MU-003-D1-01-a_50x09_LSM_Topo.mnt;-2,784508208;-6,138067307;-11896,23081;58,25957935;-0,11012877;6,18E-05;47,60588012;-0,031328236;-1,98E-06;-0,071332194;2,94E-05;2,82E-05;BA_50x_res --- MU-003 - MU-003_D1-01-a_50x09_LSM_Topo;07.03.2020 10:44;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;38576,33992;65340;0,590393938;0;BA_50x_res --- MU-003 - MU-003-D1-01-a_50x09_LSM_Topo > Leveled (LS-plane);07.03.2020 10:44;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20634,85853;34951;0,590393938;0;BA_50x_res --- MU-003 - MU-003-D1-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.03.2020 10:44;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;13074,56896;221455;0,059039394;0;1911,594226;-0,058046134;3,752127922;6231,489939;6843,079019;13074,56896;1464,400649;0,784254611;2453,747598;3948,846071;24,43419428;0,783623959;103,745038;0,300846088;4,134572147;0,094409967;2,548137297;0,094409967;1,586519382;2,310375807;0,23776149;7155,043176;2349,892386;2031,594872;0,015269467;116,4708594;134,9717185;86,95322394;0,001612903;0,017098335;5,512847435;94,67525758;0,666072958;0,845092229
03.09.2020;14:53:40;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-003 - MU-003-D1-01-b_50x09_LSM_Topo.mnt;-2,527409943;-6,166927049;-8528,340796;28,68948435;-0,068920048;4,59E-05;55,28059873;-0,034088289;9,47E-06;-0,084263321;1,72E-05;3,81E-05;BA_50x_res --- MU-003 - MU-003_D1-01-b_50x09_LSM_Topo;07.03.2020 11:12;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;39610,00125;66654;0,594262929;0;BA_50x_res --- MU-003 - MU-003-D1-01-b_50x09_LSM_Topo > Leveled (LS-plane);07.03.2020 11:12;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;21635,33044;36407;0,594262929;0;BA_50x_res --- MU-003 - MU-003-D1-01-b_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.03.2020 11:12;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;12370,65253;208168;0,059426293;0;1935,862156;-0,29284833;3,470592073;5795,608638;6575,043895;12370,65253;1495,025959;0,585993456;2429,327843;4399,880051;24,92475437;0,76671707;106,746821;0,298142762;4,087374922;0,082772822;2,51208003;0,082772822;1,59573503;2,23726086;0,27481917;7129,788339;2228,673514;2097,685653;0,005735854;135,0255538;89,99612312;86,25183008;0,002359666;0,017138806;5,359400176;55,32349772;0,749915801;0,703807307
03.09.2020;14:54:03;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-003 - MU-003-D1-01-c_50x09_LSM_Topo.mnt;-5,855448346;2,058406602;16596,69738;-34,2217893;0,021743232;-1,27E-05;-40,12424812;0,050170058;4,86E-06;0,02377758;-1,88E-05;-5,60E-06;BA_50x_res --- MU-003 - MU-003_D1-01-c_50x09_LSM_Topo;07.03.2020 11:41;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;54863,84521;65476;0,837922983;0;BA_50x_res --- MU-003 - MU-003-D1-01-c_50x09_LSM_Topo > Leveled (LS-plane);07.03.2020 11:41;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;31276,31325;37326;0,837922983;0;BA_50x_res --- MU-003 - MU-003-D1-01-c_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.03.2020 11:41;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10702,20371;127723;0,083792298;0;1413,907395;-0,069586211;3,838747492;4844,954477;5857,249233;10702,20371;1072,492556;0,589224875;1730,838877;2853,606476;24,16151638;0,692472267;93,49320134;0,203798926;1,984275661;0,083287072;1,814126304;0,083287072;1,177174471;1,626515829;0,187610475;5360,416766;1402,13257;2425,201403;89,99877776;0,017261905;45,00826339;86,90223073;0,00060319;0,017477375;2,502233701;7,377919011;1,101454302;1,16636436
03.09.2020;14:54:26;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-008 - MU-008-B2-01-a_50x07_LSM_Topo.mnt;-1,471638996;-8,199135429;3794,332188;3,395116138;0,004493836;-9,39E-06;-24,90895936;-0,00165873;1,34E-05;0,022186721;-1,10E-05;6,39E-07;BA_50x_res --- MU-008 - MU-008_B2-01-a_50x07_LSM_Topo;07.03.2020 13:40;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;49008,24119;64275;0,762477498;0;BA_50x_res --- MU-008 - MU-008-B2-01-a_50x07_LSM_Topo > Leveled (LS-plane);07.03.2020 13:40;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;20284,18888;26603;0,762477498;0;BA_50x_res --- MU-008 - MU-008-B2-01-a_50x07_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.03.2020 13:40;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;11165,41549;146436;0,07624775;0;1960,290431;-0,153836989;2,838708026;4865,292667;6300,122823;11165,41549;1584,557092;1,938490055;2511,626745;4037,299314;24,21193483;0,672480262;51,25914225;0,296200625;3,956092565;0,081151212;2,592766387;0,081151212;1,805503075;2,367612519;0,225153868;7491,684533;1876,608288;2654,700833;44,98193692;89,99798668;56,25832882;66,33440091;0,001373681;0,017146619;5,100026075;1,800739376;0,128418768;0,386683692
03.09.2020;14:54:50;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-008 - MU-008-B2-01-b_50x07_LSM_Topo.mnt;-5,090178218;-7,742142324;3404,990266;7,613647392;-0,016467027;6,91E-06;-15,83532635;-0,013604625;1,16E-05;0,019354658;6,33E-06;-7,18E-06;BA_50x_res --- MU-008 - MU-008_B2-01-b_50x07_LSM_Topo;07.03.2020 14:09;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;62004,11717;65911;0,940724874;0;BA_50x_res --- MU-008 - MU-008-B2-01-b_50x07_LSM_Topo > Leveled (LS-plane);07.03.2020 14:09;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;34073,99566;36221;0,940724874;0;BA_50x_res --- MU-008 - MU-008-B2-01-b_50x07_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.03.2020 14:09;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;14507,38864;154215;0,094072487;0;1651,163777;-0,529118304;5,420345423;5392,32905;9115,059594;14507,38864;1269,266505;0,301547625;2010,988038;3051,025841;25,14075716;0,53770771;93,74672152;0,264840121;3,22739479;0,077938916;2,088892646;0,077938916;1,449206734;1,89610499;0,192787655;4184,602939;1389,329044;2738,386967;90,00444216;63,53391438;0,007220592;68,05963202;0,003183337;0,016548958;4,725054716;1,683778668;0,108917013;0,327208471
03.09.2020;14:55:15;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-008 - MU-008-B2-01-c_50x07_LSM_Topo.mnt;4,754111604;-8,824342005;781,7858085;0,146357052;-0,000656853;-1,74E-06;8,141261439;-0,007700334;2,05E-06;-0,020235955;1,26E-05;8,29E-06;BA_50x_res --- MU-008 - MU-008_B2-01-c_50x07_LSM_Topo;07.03.2020 14:39;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;62865,65045;63414;0,991352863;0;BA_50x_res --- MU-008 - MU-008-B2-01-c_50x07_LSM_Topo > Leveled (LS-plane);07.03.2020 14:39;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;28032,4849;28277;0,991352863;0;BA_50x_res --- MU-008 - MU-008-B2-01-c_50x07_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;07.03.2020 14:39;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10394,53304;104852;0,099135286;0;1732,589999;0,397796516;3,125691767;6179,697206;4214,835832;10394,53304;1364,438968;0,325822733;2357,052565;3032,580936;26,31986219;0,500947677;166,4969653;0,284747896;3,505539402;0,100222306;2,457226214;0,100222306;1,534086804;2,291246488;0,165979726;5588,421314;1612,33745;2783,706943;45,01220521;116,4933138;135,0081779;76,47363552;0,000985696;0,01737162;4,88046615;1,800739376;0,189338199;0,373787571
03.09.2020;14:55:40;E:\USE-WEAR\archaeology\BALVE\ConfoMap\BA_pro --- BA_50x_res --- MU-019 - MU-019-A3-01-a_50x09_LSM_Topo.mnt;2,737847011;3,977494715;-9070,037432;6,129766962;-0,010155278;1,10E-05;47,11930976;-0,017145633;-2,78E-06;-0,054431121;8,45E-06;1,83E-05;BA_50x_res --- MU-019 - MU-019_A3-01-a_50x09_LSM_Topo;7/13/2020 12:17:59 PM;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;37160,60472;65516;0,567198924;0;BA_50x_res --- MU-019 - MU-019-A3-01-a_50x09_LSM_Topo > Leveled (LS-plane);7/13/2020 12:17:59 PM;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;16748,24984;29528;0,567198924;0;BA_50x_res --- MU-019 - MU-019-A3-01-a_50x09_LSM_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0,1000 %   99,90 %) > S-filtered (Lambda-s 2,500 µm) > Filled-in non-measured points;7/13/2020 12:17:59 PM;Surface;X;255,4748056;1198;0,213429245;Y;255,4748056;1198;0,213429245;Z;Topography;10777,00644;190004;0,056719892;0;1444,676243;-0,122833004;3,850576514;5173,194509;5603,811932;10777,00644;1105,574113;0,488941657;1774,224526;3158,62813;26,84834861;0,948919855;47,48961388;0,189497614;1,740463389;0,078093312;1,852331161;0,078093312;1,224270883;1,670428827;0,181902334;5706,857797;1584,908593;2112,345777;134,9981232;45,01767928;89,99291102;73,05410744;0,001347558;0,017904055;2,059416328;141,6549139;0,228169843;0,54823225
